ticker,name,market,security_type,ohlcv_rows,trade_dates,min_date,max_date,has_krx
279410,한화에이스스팩4호,KOSDAQ,,638,638,2017-11-27,2020-07-02,t
279570,케이뱅크,KOSPI,,53,53,2026-03-05,2026-05-20,t
279600,미디어젠,KOSDAQ,,1605,1605,2019-11-05,2026-05-20,t
280360,롯데웰푸드,KOSPI,,2099,2099,2017-10-30,2026-05-20,t
281410,한국제6호스팩,KOSDAQ,,636,636,2017-12-21,2020-07-24,t
281740,레이크머티리얼즈,KOSDAQ,,2068,2068,2017-12-12,2026-05-20,t
281820,케이씨텍,KOSPI,,2073,2073,2017-12-05,2026-05-20,t
282330,BGF리테일,KOSPI,,2070,2070,2017-12-08,2026-05-20,t
282690,동아타이어,KOSPI,,1684,1684,2017-11-29,2024-10-07,t
282720,금양그린파워,KOSDAQ,,777,777,2023-03-13,2026-05-20,t
282880,코윈테크,KOSDAQ,,1666,1666,2019-08-05,2026-05-20,t
284620,카이노스메드,KOSDAQ,,1950,1950,2018-06-08,2026-05-20,t
284740,쿠쿠홈시스,KOSPI,,2049,2049,2018-01-11,2026-05-20,t
285130,SK케미칼,KOSPI,,2053,2053,2018-01-05,2026-05-20,t
28513K,SK케미칼우,KOSPI,,2053,2053,2018-01-05,2026-05-20,t
285490,노바텍,KOSDAQ,,1852,1852,2018-11-02,2026-05-20,t
285800,진영,KOSDAQ,,722,722,2023-06-01,2026-05-20,t
286750,나노실리칸첨단소재,KOSDAQ,,1657,1657,2019-08-19,2026-05-20,t
286940,롯데이노베이트,KOSPI,,1916,1916,2018-07-27,2026-05-20,t
287410,제이시스메디칼,KOSDAQ,,1599,1599,2018-05-08,2024-11-06,t
287840,인투셀,KOSDAQ,,242,242,2025-05-23,2026-05-20,t
288180,케이피항공산업,KOSDAQ,,2,2,2026-05-19,2026-05-20,t
288330,파라택시스코리아,KOSDAQ,,1572,1572,2019-12-20,2026-05-20,t
288620,에스프리즘,KOSDAQ,,1866,1866,2018-10-15,2026-05-20,t
288980,모아데이타,KOSDAQ,,1027,1027,2022-03-10,2026-05-20,t
289010,아이스크림에듀,KOSDAQ,,1683,1683,2019-07-11,2026-05-20,t
289080,SV인베스트먼트,KOSDAQ,,1931,1931,2018-07-06,2026-05-20,t
289220,자이언트스텝,KOSDAQ,,1264,1264,2021-03-24,2026-05-20,t
289930,웨이비스,KOSDAQ,,381,381,2024-10-25,2026-05-20,t
290090,트윔,KOSDAQ,,1102,1102,2021-11-17,2026-05-20,t
290120,DH오토리드,KOSDAQ,,1827,1827,2018-12-07,2026-05-20,t
290270,휴네시온,KOSDAQ,,1912,1912,2018-08-02,2026-05-20,t
290380,대유,KOSDAQ,,1725,1725,2018-08-10,2025-08-20,t
290510,코리아센터,KOSDAQ,,753,753,2019-11-29,2022-12-15,t
290520,신도기연,KOSDAQ,,1440,1440,2020-07-06,2026-05-20,t
290550,디케이티,KOSDAQ,,1817,1817,2018-12-21,2026-05-20,t
290560,파라택시스이더리움,KOSDAQ,,618,618,2023-11-03,2026-05-20,t
290650,엘앤씨바이오,KOSDAQ,,1853,1853,2018-11-01,2026-05-20,t
290660,다이나믹솔루션,KOSDAQ,,1834,1834,2018-11-28,2026-05-20,t
290670,대보마그네틱,KOSDAQ,,1850,1850,2018-11-06,2026-05-20,t
290690,소룩스,KOSDAQ,,1356,1356,2020-11-06,2026-05-20,t
290720,푸드나무,KOSDAQ,,1872,1872,2018-10-04,2026-05-20,t
290740,액트로,KOSDAQ,,1895,1895,2018-08-28,2026-05-20,t
291210,한국제7호스팩,KOSDAQ,,659,659,2018-05-11,2021-01-14,t
291230,엔피,KOSDAQ,,1883,1883,2018-09-13,2026-05-20,t
291650,압타머사이언스,KOSDAQ,,1389,1389,2020-09-16,2026-05-20,t
291810,핀텔,KOSDAQ,,875,875,2022-10-20,2026-05-20,t
293480,하나제약,KOSPI,,1873,1873,2018-10-02,2026-05-20,t
293490,카카오게임즈,KOSDAQ,,1393,1393,2020-09-10,2026-05-20,t
293580,나우IB,KOSDAQ,,1872,1872,2018-10-04,2026-05-20,t
293780,압타바이오,KOSDAQ,,1704,1704,2019-06-12,2026-05-20,t
293940,신한알파리츠,KOSPI,,1908,1908,2018-08-08,2026-05-20,t
294090,이오플로우,KOSDAQ,,1391,1391,2020-09-14,2026-05-20,t
294140,레몬,KOSDAQ,,1527,1527,2020-02-28,2026-05-20,t
294570,쿠콘,KOSDAQ,,1239,1239,2021-04-28,2026-05-20,t
294630,서남,KOSDAQ,,1533,1533,2020-02-20,2026-05-20,t
294870,IPARK현대산업개발,KOSPI,,1948,1948,2018-06-12,2026-05-20,t
295310,에이치브이엠,KOSDAQ,,459,459,2024-06-28,2026-05-20,t
296640,이노에이엑스,KOSDAQ,,883,883,2022-10-07,2026-05-20,t
297090,씨에스베어링,KOSDAQ,,1593,1593,2019-11-21,2026-05-20,t
297570,알로이스,KOSDAQ,,1921,1921,2018-07-20,2026-05-20,t
297890,HB솔루션,KOSDAQ,,1450,1450,2020-06-22,2026-05-20,t
298000,효성화학,KOSPI,,1926,1926,2018-07-13,2026-05-20,t
298020,효성티앤씨,KOSPI,,1926,1926,2018-07-13,2026-05-20,t
298040,효성중공업,KOSPI,,1926,1926,2018-07-13,2026-05-20,t
298050,HS효성첨단소재,KOSPI,,1926,1926,2018-07-13,2026-05-20,t
298060,풍전약품,KOSDAQ,,1453,1453,2020-06-17,2026-05-20,t
298380,에이비엘바이오,KOSDAQ,,1819,1819,2018-12-19,2026-05-20,t
298540,더네이쳐홀딩스,KOSDAQ,,1425,1425,2020-07-27,2026-05-20,t
298690,에어부산,KOSPI,,1814,1814,2018-12-27,2026-05-20,t
298830,슈어소프트테크,KOSDAQ,,743,743,2023-04-28,2026-05-20,t
298870,우리벤처파트너스,KOSDAQ,,419,419,2021-12-16,2023-08-25,t
299030,하나기술,KOSDAQ,,1343,1343,2020-11-25,2026-05-20,t
299170,더블유에스아이,KOSDAQ,,1877,1877,2018-09-21,2026-05-20,t
299660,셀리드,KOSDAQ,,1780,1780,2019-02-20,2026-05-20,t
299900,위지윅스튜디오,KOSDAQ,,1818,1818,2018-12-20,2026-05-20,t
299910,애닉,KOSDAQ,,1523,1523,2018-12-03,2025-02-13,t
300080,플리토,KOSDAQ,,1679,1679,2019-07-17,2026-05-20,t
300120,라온피플,KOSDAQ,,1617,1617,2019-10-18,2026-05-20,t
300720,한일시멘트,KOSPI,,1910,1910,2018-08-06,2026-05-20,t
301300,바이브컴퍼니,KOSDAQ,,1363,1363,2020-10-28,2026-05-20,t
302430,이노메트리,KOSDAQ,,1824,1824,2018-12-12,2026-05-20,t
302440,SK바이오사이언스,KOSPI,,1268,1268,2021-03-18,2026-05-20,t
302550,리메드,KOSDAQ,,1582,1582,2019-12-06,2026-05-20,t
303030,지니틱스,KOSDAQ,,1893,1893,2018-08-30,2026-05-20,t
303360,프로티아,KOSDAQ,,712,712,2023-06-16,2026-05-20,t
303530,이노뎁,KOSDAQ,,1204,1204,2021-06-18,2026-05-20,t
303810,동국생명과학,KOSDAQ,,307,307,2025-02-17,2026-05-20,t
304100,솔트룩스,KOSDAQ,,1427,1427,2020-07-23,2026-05-20,t
304360,에스바이오메딕스,KOSDAQ,,740,740,2023-05-04,2026-05-20,t
304840,피플바이오,KOSDAQ,,1370,1370,2020-10-19,2026-05-20,t
305090,마이크로디지탈,KOSDAQ,,1708,1708,2019-06-05,2026-05-20,t
306040,에스제이그룹,KOSDAQ,,1596,1596,2019-11-18,2026-05-20,t
306200,세아제강,KOSPI,,1871,1871,2018-10-05,2026-05-20,t
306620,지아이에스,KOSDAQ,,1854,1854,2018-10-31,2026-05-20,t
